id,y_2013,y_2014,y_2015,y_2016
370630001011,3,2,3,3
370630001012,3,4,5,5
370630001021,4,3,3,3
370630001022,1,1,1,1
370630002001,1,1,1,1
370630002002,0,0,0,0
370630002003,0,0,0,0
370630003011,0,0,0,0
370630003012,0,0,0,0
370630003013,2,2,2,2
370630003021,0,0,0,0
370630003022,0,0,0,0
370630003023,2,2,1,1
370630004011,5,3,4,4
370630004012,0,0,0,0
370630004013,0,0,0,0
370630004021,4,4,4,4
370630005001,3,3,2,2
370630005002,0,0,0,0
370630005003,1,0,0,0
370630005004,4,3,3,3
370630006001,2,3,3,3
370630006002,3,3,3,3
370630006003,0,0,0,0
370630007001,3,3,3,3
370630007002,3,3,3,3
370630007003,2,2,2,2
370630009001,2,2,2,2
370630009002,2,2,2,2
370630010011,6,5,5,5
370630010012,5,5,5,5
370630010013,1,0,0,0
370630010021,2,2,2,2
370630010022,1,1,2,1
370630010023,0,0,0,0
370630010024,1,2,2,2
370630011001,2,2,2,2
370630011002,3,3,2,2
370630013011,3,1,3,2
370630013031,5,5,5,5
370630013032,2,2,2,2
370630013041,5,5,5,5
370630014001,3,3,3,3
370630014002,5,5,5,6
370630015011,0,0,0,0
370630015021,1,1,0,0
370630015022,0,0,0,0
370630015023,0,0,0,0
370630015024,0,0,0,0
370630015031,0,0,0,0
370630016011,2,2,2,2
370630016012,1,1,1,1
370630016013,2,2,2,2
370630016031,1,1,1,1
370630016032,3,4,5,5
370630016033,3,3,3,3
370630016034,1,0,0,0
370630016041,2,2,2,2
370630016042,0,0,0,0
370630016043,0,0,0,0
370630017051,2,2,4,4
370630017052,2,2,2,2
370630017053,4,4,4,4
370630017061,1,1,1,1
370630017062,0,0,0,0
370630017071,0,0,0,0
370630017072,0,0,0,0
370630017073,0,0,0,0
370630017074,1,1,1,1
370630017075,0,0,0,0
370630017081,7,6,6,6
370630017091,3,3,3,3
370630017092,3,3,3,3
370630017093,4,4,4,4
370630017101,2,3,3,3
370630017102,3,2,2,2
370630017111,2,2,2,1
370630017112,0,0,0,0
370630017113,3,3,3,3
370630018011,8,9,7,7
370630018012,2,0,0,0
370630018013,2,2,1,1
370630018014,3,3,3,3
370630018015,2,2,2,2
370630018021,6,5,4,4
370630018022,0,0,0,0
370630018023,9,8,6,6
370630018024,2,2,2,2
370630018061,1,1,0,0
370630018062,7,6,3,3
370630018071,6,5,7,7
370630018072,8,9,7,7
370630018073,9,8,7,7
370630018081,3,3,3,3
370630018082,5,5,4,4
370630018091,3,4,3,3
370630018092,5,4,4,4
370630019001,0,0,0,0
370630019002,0,0,0,0
370630020071,1,1,1,1
370630020072,0,0,0,0
370630020073,2,1,0,0
370630020081,0,0,0,0
370630020082,2,2,2,2
370630020091,9,10,7,7
370630020092,6,6,5,5
370630020093,12,12,11,11
370630020131,1,1,1,1
370630020132,3,3,3,3
370630020133,4,4,4,4
370630020151,5,5,5,5
370630020152,4,4,4,4
370630020153,0,1,0,0
370630020161,0,0,0,0
370630020162,1,1,1,1
370630020171,3,3,2,2
370630020172,1,2,1,1
370630020173,1,1,1,1
370630020181,1,1,0,0
370630020182,1,1,1,1
370630020183,4,3,4,3
370630020191,0,0,0,0
370630020192,1,0,2,2
370630020193,0,0,0,0
370630020201,0,0,0,0
370630020202,4,5,5,5
370630020211,0,1,0,0
370630020212,1,0,2,2
370630020221,2,2,3,3
370630020222,3,2,2,2
370630020231,4,3,4,3
370630020232,1,2,2,2
370630020241,5,7,6,6
370630020242,0,0,0,0
370630020243,0,0,0,0
370630020251,4,5,5,5
370630020252,4,3,3,3
370630020253,0,0,0,0
370630020261,6,6,7,7
370630020262,0,0,0,0
370630020271,6,6,7,7
370630020272,6,6,6,6
370630020273,1,1,1,1
370630020281,3,2,3,3
370630020282,0,0,0,0
370630020283,2,1,2,2
370630021001,0,0,0,0
370630021002,1,0,1,1
370630021003,0,0,0,0
370630022001,4,3,3,3
370630023001,0,0,0,0
370630023002,0,0,0,0
370639801001,4,1,4,4
